iter	RMSE
145	0.2072179424
146	0.2066946556
147	0.2060955894
148	0.2055292261
149	0.2050384114
150	0.2045397695
151	0.2039947296
152	0.2034890562
153	0.2029335055
154	0.2023859603
155	0.2018821623
156	0.2013166633
157	0.2008246599
158	0.2003021631
159	0.199782228
160	0.1992642828
161	0.1986831553
162	0.1982459972
163	0.1977877822
164	0.1973135195
165	0.196798723
166	0.1963156512
167	0.195838096
168	0.1953112677
169	0.194808629
170	0.1943679839
171	0.1939313043
172	0.1934615857
173	0.1930086702
174	0.1925615135
175	0.1920933185
176	0.1916394506
177	0.1911460969
178	0.1907155208
179	0.1902760339
180	0.1898799137
181	0.1894411408
182	0.1890026207
183	0.1885726679
184	0.1881878479
185	0.1877955125
186	0.1873745352
187	0.1870065575
188	0.1865572233
189	0.1860905934
190	0.1856745378
191	0.1852861907
192	0.1848367067
193	0.1844901384
194	0.1840621641
195	0.1836438245
196	0.1832318553
197	0.1828802541
198	0.1824939345
199	0.1821100126
200	0.1817905935
201	0.1814318581
202	0.181074369
203	0.1807019891
204	0.1803540962
205	0.1800050513
206	0.1796945459
207	0.1793602765
208	0.1790029407
209	0.1786282797
210	0.1782639292
211	0.17793188
212	0.1775588008
213	0.1772167262
214	0.1768772667
215	0.1765238775
216	0.1762122398
217	0.1758853573
218	0.1755716357
219	0.175302524
220	0.1749394056
221	0.1745711663
222	0.1742582218
223	0.1739586476
224	0.1735873931
225	0.1732432394
226	0.1729012511
227	0.1725742948
228	0.1722862354
229	0.1720039769
230	0.171763148
231	0.1715245088
232	0.1712101513
233	0.1708781099
234	0.1705889689
235	0.1703179827
236	0.1700412896
237	0.1697120067
238	0.1693808301
239	0.1690949836
240	0.1687877547
241	0.168504447
242	0.1682284865
243	0.1679377665
244	0.1676465469
245	0.167364904
246	0.1671189952
247	0.1668634058
248	0.166594598
249	0.1663551063
250	0.1660546443
251	0.1658286877
252	0.1655264977
253	0.1652793751
254	0.1650108874
255	0.164719917
256	0.1644353555
257	0.1642013592
258	0.1639061609
259	0.1636982851
260	0.1634432233
261	0.1632023008
262	0.1629548194
263	0.1626675681
264	0.1624456105
265	0.1621846371
266	0.1619473722
267	0.1617012441
268	0.1614567465
269	0.1612397969
270	0.1610367078
271	0.1607622157
272	0.160520003
273	0.1602689046
274	0.1600075834
275	0.1598323231
276	0.1595862422
277	0.1593197514
278	0.1591273437
279	0.158920644
280	0.1586858434
281	0.1584820798
282	0.1582554327
283	0.1580368763
284	0.1578200669
285	0.1576135142
286	0.1573970918
287	0.1571911999
288	0.156942104
289	0.1567322815
290	0.1565402464
291	0.1563170113
292	0.1560797487
293	0.1558457371
294	0.1556444354
295	0.1554159786
296	0.1552007581
297	0.1550107111
298	0.1547853901
299	0.1545885272
300	0.1544048346
301	0.1541942349
302	0.153968425
303	0.1537434584
304	0.1535710375
305	0.1533673876
306	0.1532105914
307	0.1530204048
308	0.152843538
309	0.1526384252
310	0.1524681562
311	0.1522745104
312	0.1520862338
313	0.1519086571
314	0.1517552235
315	0.1515918763
316	0.1514216469
317	0.1512326971
318	0.151040118
319	0.1508554107
320	0.15065878
321	0.1505021227
322	0.1503546801
323	0.1501838901
324	0.1500246527
325	0.1498863168
326	0.1497425044
327	0.1495762289
328	0.1494341258
329	0.1492816558
330	0.1491184471
331	0.148958556
332	0.1488102946
333	0.1486601047
334	0.1484906996
335	0.1483293268
336	0.1481532588
337	0.1480153762
338	0.147860251
339	0.1477169228
340	0.1475706299
341	0.1473931276
342	0.1472448976
343	0.1471114471
344	0.1469862583
345	0.146828642
346	0.1466846555
347	0.1465295131
348	0.1463951677
349	0.1462561381
350	0.1461289858
351	0.1459996211
352	0.145857761
353	0.145700603
354	0.1455901685
355	0.145412702
356	0.1452797538
357	0.1451310428
358	0.1449690402
359	0.1448324908
360	0.1446731641
361	0.1445139371
362	0.1443532717
363	0.1442193243
364	0.1440910977
365	0.1439554113
366	0.1438364915
367	0.1437411094
368	0.143614889
369	0.143501441
370	0.1433571899
371	0.1432232916
372	0.1431053685
373	0.1429672847
374	0.1428392176
375	0.142695959
376	0.1425936738
377	0.1424737597
378	0.1423604742
379	0.1422393783
380	0.1420976635
381	0.1419706807
382	0.1418490694
383	0.141740228
384	0.1416563386
385	0.1415460269
386	0.1414369977
387	0.1413021208
388	0.1411757214
389	0.1410810518
390	0.1409772297
391	0.1408621611
392	0.1407809166
393	0.140676289
394	0.1405574602
395	0.1404621773
396	0.140350526
397	0.140229225
398	0.1401193581
399	0.1399858925
400	0.1398747782
401	0.1397373138
402	0.1396146798
403	0.1394946943
404	0.139392934
405	0.1392954745
406	0.1391684959
407	0.1390637266
408	0.1389556512
409	0.138842714
410	0.1387256793
411	0.1386066444
412	0.1384774765
413	0.1383764172
414	0.1382831613
415	0.1381731553
416	0.1380624757
417	0.1379643813
418	0.1378696782
419	0.1377542816
420	0.1376302007
421	0.1375272303
422	0.1374302383
423	0.1373046554
424	0.1372113021
425	0.1371304756
426	0.1370151559
427	0.1369152289
428	0.1367978331
429	0.1366973472
430	0.1366011884
431	0.136507802
432	0.1364062986
433	0.1363197926
434	0.1362322016
435	0.136134273
436	0.1360338134
437	0.1359669609
438	0.1358546964
439	0.1357639374
440	0.1356678246
441	0.1355694418
442	0.1354849763
443	0.135389594
444	0.1352884665
445	0.1351822459
446	0.1350859263
447	0.1349895389
448	0.1348807367
449	0.1347989883
450	0.1347051334
451	0.1346257293
452	0.134550044
453	0.1344683736
454	0.1343850656
455	0.1342947589
456	0.1341973731
457	0.1341160639
458	0.1340245532
459	0.1339185211
460	0.1338672182
461	0.1337848409
462	0.133699217
463	0.1336164657
464	0.1335451728
465	0.133448732
466	0.1333644652
467	0.1332952672
468	0.1332008116
469	0.1331257199
470	0.133068548
471	0.1329652969
472	0.1328982137
473	0.1327997832
474	0.1327217108
475	0.1326549208
476	0.1325669011
477	0.1324758205
478	0.1323835976
479	0.1322914988
480	0.1322290789
481	0.1321543506
482	0.132075326
483	0.1319893795
484	0.1319319991
485	0.1318348886
486	0.1317784104
487	0.1316890734
488	0.1316150515
489	0.1315049884
490	0.1314321015
491	0.1313495485
492	0.1312670746
493	0.1311862833
494	0.1311248888
495	0.1310650161
496	0.1309937672
497	0.1309186568
498	0.1308558417
499	0.1307775581
500	0.1306968966
501	0.1306287084
502	0.1305686683
503	0.1304997137
504	0.1304257362
505	0.1303224477
506	0.130244245
507	0.1301818823
508	0.1301156185
509	0.1300304099
510	0.1299563176
511	0.1298815138
512	0.1298008837
513	0.129734548
514	0.1296707613
515	0.1295974969
516	0.1295339542
517	0.1294596785
518	0.1293760531
519	0.1293200751
520	0.1292562335
521	0.1291716283
522	0.1290998569
523	0.129023719
524	0.1289492431
525	0.128892382
526	0.128842166
527	0.1287606916
528	0.1287097178
529	0.1286490536
530	0.1285942116
531	0.1285411072
532	0.1284737558
533	0.1284132288
534	0.1283485148
535	0.1282963993
536	0.1282273023
537	0.1281687207
538	0.1281110554
539	0.1280453348
540	0.1279746985
541	0.1279101304
542	0.1278454913
543	0.127755815
544	0.1276880901
545	0.1276366012
546	0.1275694265
547	0.1275150585
548	0.1274457291
549	0.1273909616
550	0.1273340069
551	0.1272701661
552	0.1271943942
553	0.1271316652
554	0.1270734972
555	0.1270232837
556	0.1269612872
557	0.1268917274
558	0.1268342762
559	0.1267722101
560	0.1267103608
561	0.1266502625
562	0.1265802208
563	0.1265213539
564	0.1264613785
565	0.1264234717
566	0.1263707367
567	0.1263231667
568	0.1262647202
569	0.1262211434
570	0.1261523634
571	0.1260940855
572	0.1260491938
573	0.1259919023
574	0.1259439514
575	0.1258932475
576	0.1258301035
577	0.1257698389
578	0.1257223054
579	0.1256738437
580	0.1256239329
581	0.1255592176
582	0.1254941899
583	0.1254274725
584	0.1253618803
585	0.1253135661
586	0.1252975148
587	0.1252525188
588	0.1251890292
589	0.1251463011
590	0.1251033957
591	0.1250552078
592	0.1250068203
593	0.124954761
594	0.1249084287
595	0.1248747894
596	0.1248127038
597	0.1247531145
598	0.1247331329
599	0.1246875171
600	0.1246322619
601	0.1245861188
602	0.1245301926
603	0.1244820274
604	0.1244283532
605	0.1243765605
606	0.1243168196
607	0.1242641085
608	0.1242270349
609	0.1241680532
610	0.1241248809
611	0.124070352
612	0.1240148112
613	0.1239524973
614	0.123928664
615	0.1238872379
616	0.123834384
617	0.1237761409
618	0.1237195879
619	0.1236700581
620	0.1236256208
621	0.1235874004
622	0.1235268911
623	0.123484237
624	0.1234221383
625	0.1233877425
626	0.1233517746
627	0.123301736
628	0.1232802261
629	0.1232209819
630	0.1231767542
631	0.1231245474
632	0.1230779704
633	0.123021246
634	0.1229792472
635	0.1229275722
636	0.1228905854
637	0.1228612462
638	0.1228199649
639	0.1227625826
640	0.1227093837
641	0.1226878988
642	0.1226616144
643	0.1226049756
644	0.1225471494
645	0.1224974509
646	0.1224485577
647	0.1224126057
648	0.1223725684
649	0.1223161898
650	0.1222666899
651	0.1222058338
652	0.1221570045
653	0.1221007934
654	0.1220854984
655	0.1220702916
656	0.122012532
657	0.1219618234
658	0.1219118435
659	0.1218787296
660	0.1218581026
661	0.1218008664
662	0.1217419813
663	0.1216961492
664	0.1216776831
665	0.1216334822
666	0.1215940302
667	0.1215438924
668	0.1214939752
669	0.1214469552
670	0.1213944818
671	0.1213400363
672	0.121319766
673	0.1212795113
674	0.1212322452
675	0.1211847111
676	0.1211700302
677	0.1211554338
678	0.1211170691
679	0.1210786656
680	0.121029149
681	0.1209779813
682	0.120934372
683	0.1208964688
684	0.1208478825
685	0.1207983063
686	0.1207552936
687	0.1207126116
688	0.1206758179
689	0.1206372236
690	0.1205959538
691	0.1205520817
692	0.1205057038
693	0.1204912021
694	0.1204477662
695	0.1204130445
696	0.1203762273
697	0.1203458232
698	0.1203069729
699	0.1202755567
700	0.1202331786
701	0.1201984227
702	0.1201473194
703	0.1201107336
704	0.1200608184
705	0.1200352061
706	0.1200205717
707	0.1199897136
708	0.1199230026
709	0.1199037105
710	0.1198681764
711	0.1198331524
712	0.1198034891
713	0.1197621926
714	0.1197450207
715	0.1197052365
716	0.119659813
717	0.119618136
718	0.1195750162
719	0.1195429836
720	0.1195003742
721	0.1194702482
722	0.1194277168
723	0.1193858508
724	0.1193689238
725	0.1193439708
726	0.1193122279
727	0.1192718262
728	0.1192248707
729	0.1191952043
730	0.1191559718
731	0.1191372788
732	0.1190994579
733	0.1190327312
734	0.1190142487
735	0.1189736314
736	0.1189376778
737	0.1188923366
738	0.1188647535
739	0.1188484108
740	0.1188321921
741	0.1188035056
742	0.1187562576
743	0.1187382567
744	0.1186964851
745	0.1186723321
746	0.1186471979
747	0.1186190076
748	0.1185786073
749	0.1185419533
750	0.1185014188
751	0.1184734883
752	0.1184288783
753	0.1183877348
754	0.1183483354
755	0.1183307894
756	0.1183017371
757	0.1182863374
758	0.1182496423
759	0.1182337532
760	0.1181952821
761	0.1181684444
762	0.1181268536
763	0.1180839046
764	0.1180450586
765	0.117997342
766	0.1179802177
767	0.1179632027
768	0.1179257124
769	0.117908896
770	0.1178733746
771	0.1178294185
772	0.1178146329
773	0.117779254
774	0.1177626336
775	0.1177270802
776	0.1176968192
777	0.1176643176
778	0.1176343737
779	0.1176164278
780	0.1175703575
781	0.1175105399
782	0.1174792942
783	0.1174533508
784	0.1174385246
785	0.1174063756
786	0.1173880489
787	0.117351891
788	0.1173178327
789	0.1172776731
790	0.117251821
791	0.1172244624
792	0.1172085631
793	0.1171706649
794	0.1171548659
795	0.1171297894
796	0.1171115279
797	0.117064423
798	0.1170160049
799	0.1170051136
800	0.1169711055
801	0.1169298383
802	0.1169050031
803	0.1168686649
804	0.1168546225
805	0.1168260258
806	0.1168111825
807	0.1167868563
808	0.1167512301
809	0.1167098723
810	0.1166671124
811	0.1166232755
812	0.1165992932
813	0.1165686955
814	0.1165537101
815	0.1165171711
816	0.1164834621
817	0.1164597583
818	0.1164400621
819	0.1164070268
820	0.1163586756
821	0.1163221105
822	0.1162868643
823	0.1162505224
824	0.116231578
825	0.1162169708
826	0.116197586
827	0.1161585857
828	0.1161229539
829	0.1160872141
830	0.1160645999
831	0.1160542026
832	0.1160318859
833	0.116000182
834	0.1159781862
835	0.1159595823
836	0.1159296997
837	0.1159112934
838	0.1158790713
839	0.1158566604
840	0.1158224976
841	0.1158003073
842	0.1157902
843	0.1157556622
844	0.1157337065
845	0.1157187349
846	0.1156844508
847	0.1156516379
848	0.1156174383
849	0.1155792563
850	0.1155531327
851	0.1155143158
852	0.1154965793
853	0.1154750461
854	0.1154403702
855	0.1154070721
856	0.1153951483
857	0.1153656917
858	0.1153261633
859	0.1152924314
860	0.1152692299
861	0.1152480893
862	0.115217964
863	0.1151902758
864	0.1151732784
865	0.1151318722
866	0.1151112037
867	0.1150972465
868	0.1150702896
869	0.1150500484
870	0.115037304
871	0.1150036244
872	0.1149772246
873	0.1149230442
874	0.1148894371
875	0.1148634589
876	0.1148438135
877	0.1148103661
878	0.114776337
879	0.1147402718
880	0.1147308089
881	0.1146987828
882	0.1146700422
883	0.1146441692
884	0.1146348447
885	0.1145970949
886	0.1145444103
887	0.1145107492
888	0.1145015149
889	0.1144644945
890	0.1144361162
891	0.1144055412
892	0.1143612544
893	0.1143423578
894	0.1143166102
895	0.1142836002
896	0.1142587715
897	0.1142257077
898	0.1141921828
899	0.1141622833
900	0.1141348151
901	0.1141104401
902	0.1140833003
903	0.1140446001
904	0.114009281
905	0.1139772217
906	0.1139457179
907	0.1139326119
908	0.1139062796
909	0.1138762406
910	0.1138391809
911	0.1138153155
912	0.1137917671
913	0.1137566654
914	0.1137334458
915	0.1137069762
916	0.1136709135
917	0.1136433726
918	0.1136205023
919	0.1135834234
920	0.1135549991
921	0.1135297256
922	0.1135073049
923	0.1134851805
924	0.1134679691
925	0.1134315297
926	0.1134144791
927	0.1133874074
928	0.1133516113
929	0.1133240145
930	0.1133025171
931	0.1132687239
932	0.1132520548
933	0.1132434241
934	0.1132091354
935	0.1131834171
936	0.1131623111
937	0.1131322263
938	0.1131019909
939	0.113059091
940	0.1130272146
941	0.1129851666
942	0.1129506808
943	0.1129178732
944	0.1128919483
945	0.1128576334
946	0.1128483502
947	0.1128147972
948	0.1127946749
949	0.1127638611
950	0.112739236
951	0.1127085602
952	0.1126925134
953	0.1126721302
954	0.1126520143
955	0.1126321619
956	0.1126060854
957	0.1125765994
958	0.1125570436
959	0.1125280291
960	0.1124958624
961	0.1124641379
962	0.1124422825
963	0.1124118096
964	0.1123880079
965	0.112368707
966	0.112349658
967	0.1123202382
968	0.1123090233
969	0.1122756569
970	0.1122459627
971	0.1122272503
972	0.1122122351
973	0.1121905906
974	0.1121603991
975	0.1121265663
976	0.1121081738
977	0.1120849611
978	0.1120523451
979	0.112034236
980	0.1120068579
981	0.1119750492
982	0.1119452548
983	0.1119210281
984	0.1118940955
985	0.1118763287
986	0.1118401389
987	0.1118066562
988	0.1117676115
989	0.1117501559
990	0.1117172472
991	0.1116936672
992	0.1116613465
993	0.1116403411
994	0.11161289
995	0.111576924
996	0.11154718
997	0.1115239604
998	0.111495352
999	0.1114733156
1000	0.1114434536
1001	0.1114202257
1002	0.1113930804
1003	0.1113760206
1004	0.1113382758
1005	0.1113124024
1006	0.1112916883
1007	0.1112748726
1008	0.1112582735
1009	0.1112367024
1010	0.1112057223
1011	0.1111768775
1012	0.1111504222
1013	0.1111216567
1014	0.1110982547
1015	0.1110685456
1016	0.1110376594
1017	0.1110172115
1018	0.1109854818
1019	0.1109649878
1020	0.1109431117
1021	0.1109157005
1022	0.1108942836
1023	0.1108735117
1024	0.1108431017
1025	0.1108208401
1026	0.1107935757
1027	0.1107710355
1028	0.1107442747
1029	0.1107204193
1030	0.1107043708
1031	0.1106832642
1032	0.1106634888
1033	0.1106386748
1034	0.1106229322
1035	0.1105963474
1036	0.1105762281
1037	0.1105518798
1038	0.1105201231
1039	0.1104892914
1040	0.110466982
1041	0.1104387119
1042	0.1104098294
1043	0.1103966968
1044	0.1103812486
1045	0.1103606256
1046	0.1103477466
1047	0.1103184437
1048	0.1102981889
1049	0.1102707454
1050	0.110249948
1051	0.1102257397
1052	0.1101990808
1053	0.1101864599
1054	0.1101654179
1055	0.1101451164
1056	0.1101087936
1057	0.1100889167
1058	0.1100611419
1059	0.1100412457
1060	0.1100055423
1061	0.1099708121
1062	0.1099487829
1063	0.1099291138
1064	0.1099144723
1065	0.1098897181
1066	0.1098702425
1067	0.1098428156
1068	0.1098166011
1069	0.1097976285
1070	0.109763433
1071	0.1097294496
1072	0.1097150633
1073	0.109697059
1074	0.1096601263
1075	0.1096416912
1076	0.1096181091
1077	0.1095982311
1078	0.1095840983
1079	0.1095622723
1080	0.1095270961
1081	0.1095078902
1082	0.1094838753
1083	0.1094657903
1084	0.1094462321
1085	0.1094344995
1086	0.109401859
1087	0.1093781128
1088	0.1093603577
1089	0.1093487903
1090	0.1093209515
1091	0.1092930565
1092	0.1092816069
1093	0.1092628385
1094	0.1092350234
1095	0.1092017597
1096	0.1091955006
1097	0.1091672112
1098	0.1091390443
1099	0.1091220562
1100	0.1090994069
1101	0.1090932065
1102	0.1090674848
1103	0.1090405372
1104	0.1090343803
1105	0.1090082321
1106	0.1089799267
1107	0.1089610977
1108	0.1089445282
1109	0.1089311801
1110	0.1089125788
1111	0.1088994007
1112	0.1088751137
1113	0.1088437138
1114	0.108817112
1115	0.1087917403
1116	0.1087700909
1117	0.1087443806
1118	0.1087261886
1119	0.1086955613
1120	0.1086826054
1121	0.1086589603
1122	0.1086409203
1123	0.1086183598
1124	0.1085944377
1125	0.1085778526
1126	0.1085526837
1127	0.1085348657
1128	0.1085173135
1129	0.1084935758
1130	0.1084774178
1131	0.1084598221
1132	0.1084339596
1133	0.1084180297
1134	0.1084053681
1135	0.1083900244
1136	0.1083846575
1137	0.1083714603
1138	0.108358419
1139	0.1083353012
1140	0.1083053862
1141	0.1082777212
1142	0.1082525399
1143	0.1082258311
1144	0.1082010126
1145	0.1081752175
1146	0.1081505135
1147	0.1081346674
1148	0.1081115234
1149	0.1080859891
1150	0.1080708141
1151	0.1080446215
1152	0.1080393696
1153	0.1080170945
1154	0.1079871535
1155	0.1079642895
1156	0.1079493605
1157	0.1079234293
1158	0.1079182182
1159	0.1079130379
1160	0.1078869104
1161	0.1078708883
1162	0.1078587343
1163	0.1078371321
1164	0.1078143965
1165	0.1077891744
1166	0.1077668215
1167	0.1077413125
1168	0.1077126102
1169	0.1076882826
1170	0.1076552999
1171	0.107629517
1172	0.1076165522
1173	0.1075872165
1174	0.1075821413
1175	0.1075578359
1176	0.1075290479
1177	0.1075148185
1178	0.1075007919
1179	0.1074786182
1180	0.1074545119
1181	0.1074222818
1182	0.1074004713
1183	0.1073954502
1184	0.1073730915
1185	0.1073592729
1186	0.1073347519
1187	0.1073090885
1188	0.1072836185
1189	0.107278639
1190	0.1072732621
1191	0.1072598877
1192	0.1072450726
1193	0.1072245428
1194	0.1072027424
1195	0.107178874
1196	0.1071576075
1197	0.1071527072
1198	0.1071364924
1199	0.1071257003
1200	0.1071208443
1201	0.1070969716
1202	0.1070707273
1203	0.1070547229
1204	0.1070343408
1205	0.1070114048
1206	0.1069956757
1207	0.1069799067
1208	0.1069587212
1209	0.1069355628
1210	0.1069130841
1211	0.1068905293
1212	0.1068782242
1213	0.1068549293
1214	0.1068327724
1215	0.1068214325
1216	0.1067996697
1217	0.1067865985
1218	0.1067728818
1219	0.1067681875
1220	0.1067460173
1221	0.1067190262
1222	0.1066984275
1223	0.1066830242
1224	0.1066762477
1225	0.1066569456
1226	0.106631717
1227	0.1066192164
1228	0.1066145927
1229	0.1065881674
1230	0.1065621665
1231	0.1065389233
1232	0.1065211949
1233	0.1064987593
1234	0.1064941715
1235	0.1064705352
1236	0.1064478324
1237	0.1064184559
1238	0.1063961782
1239	0.1063895117
1240	0.1063671127
1241	0.1063451277
1242	0.1063318648
1243	0.1063012305
1244	0.1062784796
1245	0.1062572723
1246	0.1062369092
1247	0.106216242
1248	0.1062117193
1249	0.1061899813
1250	0.1061685638
1251	0.1061460555
1252	0.1061204439
1253	0.1060992936
1254	0.1060786709
1255	0.1060579515
1256	0.1060375373
1257	0.1060177363
1258	0.1059951435
1259	0.1059694673
1260	0.1059575251
1261	0.1059324485
1262	0.1059102228
1263	0.1058878701
1264	0.1058661739
1265	0.1058442535
1266	0.1058240574
1267	0.1057988432
1268	0.1057805549
1269	0.1057606739
1270	0.1057408561
1271	0.1057215974
1272	0.105717153
1273	0.1057036467
1274	0.1056810894
1275	0.1056746149
1276	0.1056553164
1277	0.1056307243
1278	0.1056086685
1279	0.1055873975
1280	0.1055673479
1281	0.1055485678
1282	0.1055272646
1283	0.1055025416
1284	0.1054799479
1285	0.1054607442
1286	0.1054359738
1287	0.105414579
1288	0.105393567
1289	0.1053741067
1290	0.1053531385
1291	0.1053340063
1292	0.1053121399
1293	0.1052880756
1294	0.1052633774
1295	0.1052419483
1296	0.1052375751
1297	0.105233228
1298	0.1052126214
1299	0.1052062587
1300	0.105185187
1301	0.1051662164
1302	0.1051417862
1303	0.1051293007
1304	0.1051084541
1305	0.1051041631
1306	0.1050690895
1307	0.105045335
1308	0.1050229968
1309	0.1050042288
1310	0.1049784134
1311	0.1049721474
1312	0.1049536246
1313	0.1049442135
1314	0.1049399723
1315	0.1049211719
1316	0.1049018947
1317	0.1048976772
1318	0.1048866661
1319	0.1048679304
1320	0.1048617612
1321	0.1048420342
1322	0.1048075803
1323	0.104773786
1324	0.1047516069
1325	0.1047454812
1326	0.1047247448
1327	0.1047016689
1328	0.1046781032
1329	0.104654949
1330	0.1046507845
1331	0.1046282897
1332	0.1046074866
1333	0.1045861465
1334	0.1045658667
1335	0.1045469369
1336	0.1045269848
1337	0.1045081392
1338	0.1045039926
1339	0.1044897066
1340	0.1044668558
1341	0.1044462729
1342	0.1044255527
1343	0.104406574
1344	0.10438761
1345	0.1043770682
1346	0.104356973
1347	0.1043528497
1348	0.1043387745
1349	0.1043346741
1350	0.1043133522
1351	0.104290181
1352	0.1042719583
1353	0.1042679026
1354	0.1042469105
1355	0.1042206748
1356	0.1041971433
1357	0.1041792446
1358	0.1041568866
1359	0.1041364172
1360	0.1041164657
1361	0.1040983954
1362	0.1040784418
1363	0.1040684784
1364	0.1040535179
1365	0.1040362337
1366	0.1040131771
1367	0.1040091713
1368	0.1039911284
1369	0.1039871458
1370	0.1039693727
1371	0.103958692
1372	0.10394037
1373	0.1039210576
1374	0.1038991326
1375	0.1038796217
1376	0.1038607984
1377	0.1038430575
1378	0.1038238901
1379	0.1038030353
1380	0.1037804818
1381	0.1037745712
1382	0.1037556992
1383	0.1037355015
1384	0.1037198721
1385	0.1037140008
1386	0.1036967542
1387	0.1036773373
1388	0.1036592163
1389	0.1036389831
1390	0.1036290932
1391	0.1036166648
1392	0.1036070301
1393	0.1035852745
1394	0.1035794575
1395	0.103557716
1396	0.1035392916
1397	0.1035194503
1398	0.1035024448
1399	0.1034858353
1400	0.1034595345
1401	0.1034537706
1402	0.1034347067
1403	0.1034154498
1404	0.1033918577
1405	0.1033596596
1406	0.1033387367
1407	0.1033193263
1408	0.103298423
1409	0.1032862637
1410	0.1032823859
1411	0.10325597
1412	0.1032439347
1413	0.1032129117
1414	0.1031897264
1415	0.1031700412
1416	0.1031532787
1417	0.1031494237
1418	0.1031330351
1419	0.103113701
1420	0.103094837
1421	0.1030756334
1422	0.1030590968
1423	0.1030401247
1424	0.1030362852
1425	0.1030324687
1426	0.1030204997
1427	0.1030001861
1428	0.1029732381
1429	0.1029676266
1430	0.1029546096
1431	0.1029359162
1432	0.102917211
1433	0.1028988379
1434	0.102880721
1435	0.1028609666
1436	0.1028552363
1437	0.1028409751
1438	0.102822232
1439	0.1028015086
1440	0.1027922812
1441	0.1027735124
1442	0.1027477865
1443	0.1027256044
1444	0.1027139197
1445	0.102710193
1446	0.1027010306
1447	0.1026827049
1448	0.1026642257
1449	0.1026585889
1450	0.1026397962
1451	0.1026222061
1452	0.1026040676
1453	0.1025850643
1454	0.1025675163
1455	0.1025412027
1456	0.1025253065
1457	0.1025069693
1458	0.1024904447
1459	0.1024722431
1460	0.1024544373
1461	0.1024365012
1462	0.1024059782
1463	0.1023879447
1464	0.1023707712
1465	0.1023589144
1466	0.102341275
1467	0.1023121704
1468	0.1022950692
1469	0.1022746443
1470	0.1022460989
1471	0.1022372086
1472	0.1022335652
1473	0.1022158288
1474	0.1022041733
1475	0.1021951815
1476	0.1021915753
1477	0.1021861311
1478	0.1021677494
1479	0.1021511188
1480	0.1021355135
1481	0.1021266813
1482	0.1021098617
1483	0.102080527
1484	0.1020751974
1485	0.1020498003
1486	0.1020295024
1487	0.1020115732
1488	0.1019940326
1489	0.1019783306
1490	0.1019730454
1491	0.1019606296
1492	0.1019520558
1493	0.101927223
1494	0.101907533
1495	0.1019023184
1496	0.101884792
1497	0.1018697899
1498	0.1018502447
1499	0.101846703
